1;Название статьи;Индустриальная политика: Сотрудничество России и Белоруссии.;;;;;;;;;;;;
;Автор;Сухарев;Тематика;Экономическая политика;;;;;;;;;;
;Автор;Смородинская;Тематика;Экономика;;;;;;;;;;
;Иванова;0.007251302;45.37729549;*;;;;;;;;;;
;Романова;0.003760565;23.53291603;*;;;;;;;;;;
;Ковтун;0.003052675;19.10307251;2;;;;;;;;;;
;Вайсблат;0.002707936;16.94575631;7;;;;;;;;;;
;Баранова;0.002243673;14.04048565;*;;;;;;;;;;
;Коршунов;0.002037869;12.75260711;*;;;;;;;;;;
;Смельцова;0.001920484;12.01803325;3;;;;;;;;;;
;Савченко;0.001888228;11.81618077;0;;;;;;;;;;
;Гапонова;0.00182515;11.42144602;1;;;;;;;;;;
;Лапидус;0.001740378;10.89096007;2;;;;;;;;;;
;Ефремова;0.001665497;10.42237219;*;;;;;;;;;;
;;;;;;;;;;;;;;
5;Название статьи;Программа социальных преобразований капиталистического общества Э. Фромма;;;;;;;;;;;;
;Автор;Кишлакова;Тематика;Философия/Социология/Экономика;;;;;;;;;;
;Иванова;0.015980023;100;*;;;;;;;;;;
;Коршунов;0.004631737;28.98454523;*;;;;;;;;;;
;Ковтун;0.004275114;26.75286467;0;;;;;;;;;;
;Вайсблат;0.003881579;24.29019802;1;;;;;;;;;;
;Лапидус;0.003862622;24.17156628;5;;;;;;;;;;
;Смельцова;0.003781283;23.66256516;3;;;;;;;;;;
;Ошарина;0.003483214;21.79730571;*;;;;;;;;;;
;Ошарин;0.003275725;20.49887615;7;;;;;;;;;;
;Романова;0.003069481;19.20823672;*;;;;;;;;;;
;Баринова;0.002896345;18.12478877;3;;;;;;;;;;
;Михеева;0.002775367;17.36773047;6;;;;;;;;;;
;;;;;;;;;;;;;;
6;Название статьи;Логико-философские проблемы в художественной литературе (на примере романа М. Булгакова ?Мастер и Маргарита?);;;;;;;;;;;;
;Автор;Ярощук;Тематика;;;;;;;;;;;
;Иванова;0.014708331;92.04199259;*;;;;;;;;;;
;Ковтун;0.004370347;27.34881787;0;;;;;;;;;;
;Коршунов;0.004256233;26.63471026;*;;;;;;;;;;
;Вайсблат;0.003706753;23.19616828;0;;;;;;;;;;
;Лапидус;0.003558122;22.2660647;0;;;;;;;;;;
;Смельцова;0.003514442;21.99272195;0;;;;;;;;;;
;Романова;0.003257487;20.38474785;*;;;;;;;;;;
;Ошарина;0.003203333;20.04585777;*;;;;;;;;;;
;Ошарин;0.003013118;18.85553138;0;;;;;;;;;;
;Михеева;0.002706608;16.93744872;1;;;;;;;;;;
;Баринова;0.002684519;16.79921892;7;;;;;;;;;;
;;;;;;;;;;;;;;
7;Название статьи;Общероссийский народный фронт: сущность и перспективы;;;;;;;;;;;;
;Автор;Калиш. Назарова;Тематика;Политика;;;;;;;;;;
;Иванова;0.010095378;63.17499463;*;;;;;;;;;;
;Ковтун;0.004117194;25.7646347;5;;;;;;;;;;
;Романова;0.002980244;18.64980936;*;;;;;;;;;;
;Коршунов;0.002927841;18.32188057;*;;;;;;;;;;
;Лапидус;0.002696087;16.8716091;2;;;;;;;;;;
;Вайсблат;0.002524646;15.79876509;1;;;;;;;;;;
;Смельцова;0.002415195;15.11383921;1;;;;;;;;;;
;Ошарина;0.002208032;13.81745206;*;;;;;;;;;;
;Ошарин;0.002077993;13.00369274;2;;;;;;;;;;
;Соснин;0.001909034;11.94637853;2;;;;;;;;;;
;Михеева;0.001900605;11.89363059;8;;;;;;;;;;
;;;;;;;;;;;;;;
8;Название статьи;Суфизм ? гуманистическое течение в исламе;;;;;;;;;;;;
;Автор;Маматов;Тематика;Религия/Философия;;;;;;;;;;
;Иванова;0.014203107;88.88039229;*;;;;;;;;;;
;Ковтун;0.004208233;26.33433903;1;;;;;;;;;;
;Коршунов;0.004114659;25.74877052;*;;;;;;;;;;
;Смельцова;0.003528984;22.08372316;0;;;;;;;;;;
;Вайсблат;0.003469955;21.71433202;0;;;;;;;;;;
;Лапидус;0.00343288;21.48232125;0;;;;;;;;;;
;Ошарина;0.003096555;19.37766583;*;;;;;;;;;;
;Романова;0.003073315;19.23223446;*;;;;;;;;;;
;Ошарин;0.002986588;18.68951174;0;;;;;;;;;;
;Михеева;0.002835702;17.74529537;5;;;;;;;;;;
;Баринова;0.002592331;16.22232102;4;;;;;;;;;;
;;;;;;;;;;;;;;
9;Название статьи;Роль Совета министров Северных стран в развитии Арктики;;;;;;;;;;;;
;Автор;Гжеля;Тематика;Политика;;;;;;;;;;
;Иванова;0.003580523;22.40624609;*;;;;;;;;;;
;Романова;0.003387066;21.19562423;*;;;;;;;;;;
;Ефремова;0.003100401;19.40172996;*;;;;;;;;;;
;Баранова;0.003036795;19.00369466;*;;;;;;;;;;
;Козлов;0.002371404;14.83980243;*;;;;;;;;;;
;Савченко;0.002221773;13.9034423;0;;;;;;;;;;
;Чилипенок;0.001945302;12.1733345;3;;;;;;;;;;
;Вайсблат;0.001909056;11.94651703;1;;;;;;;;;;
;Ковтун;0.001788179;11.19009074;4;;;;;;;;;;
;Куркин;0.001727613;10.81108212;0;;;;;;;;;;
;Альтшулер;0.00171495;10.73183623;1;;;;;;;;;;
;;;;;;;;;;;;;;
10;Название статьи;Развитие мотивации профессионального самоопределения студентов вуза;;;;;;;;;;;;
;Автор;Колесник. Орлова;Тематика;Психология;;;;;;;;;;
;Альтшулер;0.006971853;43.62855574;3;;;;;;;;;;
;Макаров;0.006611756;41.37513854;*;;;;;;;;;;
;Козлов;0.006332109;39.62516003;*;;;;;;;;;;
;Зинчак;0.006174552;38.63919567;7;;;;;;;;;;
;Городнов;0.005956403;37.27405895;3;;;;;;;;;;
;Сахаров;0.004545626;28.44567669;*;;;;;;;;;;
;Козичева;0.003936849;24.6360653;4;;;;;;;;;;
;Цветкова;0.003791692;23.7277005;*;;;;;;;;;;
;Куркина;0.003638845;22.7712146;*;;;;;;;;;;
;Панченко;0.00363097;22.72193378;1;;;;;;;;;;
;Макарова;0.003271969;20.4753734;*;;;;;;;;;;
;;;;;;;;;;;;;;
11;Название статьи;Возникновение новых экономических терминов в английском языке в условиях мирового финансового кризиса;;;;;;;;;;;;
;Автор;Полунина;Тематика;Лингвистика;;;;;;;;;;
;Ефремова;0.004683878;29.31083467;*;;;;;;;;;;
;Чилипенок;0.003055679;19.12186938;6;;;;;;;;;;
;Курьян;0.002354313;14.7328508;7;;;;;;;;;;
;Романова;0.002320702;14.52251791;*;;;;;;;;;;
;Шпилев;0.002243216;14.03762842;6;;;;;;;;;;
;Пелиновский;0.002241735;14.02835827;*;;;;;;;;;;
;Сагалова;0.002134134;13.35500944;6;;;;;;;;;;
;Баранова;0.00210996;13.20373852;*;;;;;;;;;;
;Зусман;0.001992794;12.47053352;7;;;;;;;;;;
;Павловская;0.001953185;12.22266881;*;;;;;;;;;;
;Дахин;0.001913577;11.97481052;*;;;;;;;;;;
;;;;;;;;;;;;;;
12;Название статьи;?Арабская весна? и глобальная международная система;;;;;;;;;;;;
;Автор;Наумкин;Тематика;Политика;;;;;;;;;;
;Альтшулер;0.005658069;35.40713822;1;;;;;;;;;;
;Макаров;0.005340917;33.4224597;*;;;;;;;;;;
;Козлов;0.005273548;33.00087883;*;;;;;;;;;;
;Зинчак;0.00497442;31.12899442;0;;;;;;;;;;
;Городнов;0.004892001;30.61323271;2;;;;;;;;;;
;Панченко;0.003769503;23.58884355;*;;;;;;;;;;
;Сахаров;0.003666271;22.94284305;*;;;;;;;;;;
;Козичева;0.003177379;19.8834427;0;;;;;;;;;;
;Цветкова;0.003135453;19.62107704;*;;;;;;;;;;
;Куркина;0.0031221;19.53752142;*;;;;;;;;;;
;Макарова;0.002658717;16.63775349;*;;;;;;;;;;
;;;;;;;;;;;;;;
13;Название статьи;Точные асимптотики винеровских интегралов типа Лапласа для Lp-функционалов;;;;;;;;;;;;
;Автор;Фаталов;Тематика;Математика;;;;;;;;;;
;Романова;0.005630102;35.23212646;*;;;;;;;;;;
;Захаров;0.00381839;23.8947693;*;;;;;;;;;;
;Миркин;0.002694501;16.86168332;8;;;;;;;;;;
;Баранова;0.00265101;16.58952808;*;;;;;;;;;;
;Панченко;0.002627249;16.44083397;1;;;;;;;;;;
;Зусман;0.002317021;14.49948677;0;;;;;;;;;;
;Чилипенок;0.002313811;14.47939782;0;;;;;;;;;;
;Фияксель;0.002235771;13.99103713;1;;;;;;;;;;
;Савченко;0.00207987;13.0154401;8;;;;;;;;;;
;Гапонова;0.00187274;11.71925998;1;;;;;;;;;;
;Колданов;0.001863791;11.66325374;9;;;;;;;;;;
;;;;;;;;;;;;;;
14;Название статьи;Локальная конечная базируемость и локальная представимость многообразий ассоциативных колец;;;;;;;;;;;;
;Автор;Белов;Тематика;Математика;;;;;;;;;;
;Романова;0.006648787;41.60686843;*;;;;;;;;;;
;Баранова;0.004594563;28.75191782;*;;;;;;;;;;
;Захаров;0.003952905;24.73654294;*;;;;;;;;;;
;Савченко;0.00352156;22.03726426;8;;;;;;;;;;
;Панченко;0.002611882;16.34467281;1;;;;;;;;;;
;Куркин;0.002518666;15.76134405;8;;;;;;;;;;
;Вайсблат;0.002085794;13.05250831;3;;;;;;;;;;
;Фияксель;0.002076749;12.99590918;1;;;;;;;;;;
;Миркин;0.00181437;11.3539911;8;;;;;;;;;;
;Блинов;0.001562117;9.775438438;8;;;;;;;;;;
;Солычева;0.001543682;9.660075412;8;;;;;;;;;;
;;;;;;;;;;;;;;
15;Название статьи; О стандартной гипотезе типа Лефшеца для комплексных проективных трехмерных многообразий;;;;;;;;;;;;
;Автор;Танкеев;Тематика;Математика;;;;;;;;;;
;Романова;0.007138242;44.66978504;*;;;;;;;;;;
;Баранова;0.006715673;42.02542819;*;;;;;;;;;;
;Савченко;0.004771987;29.86220196;8;;;;;;;;;;
;Захаров;0.003468718;21.70659144;*;;;;;;;;;;
;Куркин;0.003411644;21.34943434;;;;;;;;;;;
;Вайсблат;0.002726272;17.06050188;1;;;;;;;;;;
;Панченко;0.002467918;15.44376872;1;;;;;;;;;;
;Солычева;0.002228569;13.94596893;8;;;;;;;;;;
;Миркин;0.00194259;12.15636771;8;;;;;;;;;;
;Ошмарина;0.001927111;12.05949815;7;;;;;;;;;;
;Ушакова;0.001861518;11.64903348;*;;;;;;;;;;
;;;;;;;;;;;;;;
16;Название статьи;О линейной независимости значений некоторых q-рядов;;;;;;;;;;;;
;Автор;Рочев;Тематика;Математика;;;;;;;;;;
;Романова;0.005608769;35.09863163;*;;;;;;;;;;
;Емельянова;0.004788768;29.9672165;*;;;;;;;;;;
;Захаров;0.004290822;26.85116267;*;;;;;;;;;;
;Панченко;0.002750989;17.215177;1;;;;;;;;;;
;Баранова;0.002627763;16.44405023;*;;;;;;;;;;
;Фияксель;0.002322056;14.53099145;1;;;;;;;;;;
;Цветкова;0.002278202;14.2565623;*;;;;;;;;;;
;Савченко;0.002202842;13.78497124;8;;;;;;;;;;
;Миркин;0.002132836;13.34688707;8;;;;;;;;;;
;Блинов;0.001852437;11.59220678;8;;;;;;;;;;
;Вайсблат;0.001816862;11.36958365;1;;;;;;;;;;
;;;;;;;;;;;;;;
17;Название статьи;Вещественные четырехмерные биквадрики;;;;;;;;;;;;
;Автор;Краснов;Тематика;Математика;;;;;;;;;;
;Романова;0.004869051;30.46961577;*;;;;;;;;;;
;Емельянова;0.004556568;28.51414969;*;;;;;;;;;;
;Захаров;0.003880356;24.28254492;*;;;;;;;;;;
;Панченко;0.002843699;17.79533512;1;;;;;;;;;;
;Зусман;0.002134807;13.35922212;1;;;;;;;;;;
;Цветкова;0.002115881;13.24078642;*;;;;;;;;;;
;Баранова;0.001985211;12.42307974;*;;;;;;;;;;
;Чилипенок;0.001929247;12.0728693;1;;;;;;;;;;
;Фияксель;0.001863053;11.65863853;1;;;;;;;;;;
;Гапонова;0.001822469;11.40467061;0;;;;;;;;;;
;Миркин;0.001809683;11.32465551;8;;;;;;;;;;
;;;;;;;;;;;;;;
18;Название статьи;Функциональные модели несамосопряженных операторов. сильно непрерывные полугруппы и матричные веса Макенхаупта;;;;;;;;;;;;
;Автор;Губреев. Латушкин;Тематика;Математика;;;;;;;;;;
;Романова;0.006188999;38.72960187;*;;;;;;;;;;
;Захаров;0.004118257;25.77128464;*;;;;;;;;;;
;Баранова;0.003371563;21.09861073;*;;;;;;;;;;
;Емельянова;0.003305772;20.68690442;*;;;;;;;;;;
;Савченко;0.002545165;15.92716728;8;;;;;;;;;;
;Панченко;0.002501732;15.65537092;1;;;;;;;;;;
;Фияксель;0.00234853;14.69665973;1;;;;;;;;;;
;Цветкова;0.002193633;13.72734439;*;;;;;;;;;;
;Вайсблат;0.002072484;12.96922122;1;;;;;;;;;;
;Блинов;0.001996734;12.49518772;8;;;;;;;;;;
;Тенилова;0.001854996;11.60822141;0;;;;;;;;;;
;;;;;;;;;;;;;;
19;Название статьи;Нормальные автоморфизмы свободных бернсайдовых групп;;;;;;;;;;;;
;Автор;Атабекян;Тематика;Математика;;;;;;;;;;
;Романова;0.004556618;28.51446742;*;;;;;;;;;;
;Захаров;0.003197316;20.00820466;*;;;;;;;;;;
;Иванова;0.002502684;15.66132861;*;;;;;;;;;;
;Ефремова;0.002143545;13.41390632;*;;;;;;;;;;
;Баранова;0.001977218;12.37306432;*;;;;;;;;;;
;Фияксель;0.001958793;12.25776327;1;;;;;;;;;;
;Ковтун;0.001783153;11.15864045;0;;;;;;;;;;
;Савченко;0.001756676;10.99295141;8;;;;;;;;;;
;Чилипенок;0.001701859;10.64991567;1;;;;;;;;;;
;Цветкова;0.001667011;10.43184399;*;;;;;;;;;;
;Вайсблат;0.001614456;10.10296209;1;;;;;;;;;;
;;;;;;;;;;;;;;
20;Название статьи;О разрушении внутренних гравитационных волн с нелинейными источниками;;;;;;;;;;;;
;Автор;Корпусов;Тематика;Математика;;;;;;;;;;
;Романова;0.006940397;43.43171035;*;;;;;;;;;;
;Емельянова;0.004151553;25.97964485;*;;;;;;;;;;
;Баранова;0.004107464;25.70374153;*;;;;;;;;;;
;Захаров;0.003878506;24.27096786;*;;;;;;;;;;
;Панченко;0.003075458;19.24564387;1;;;;;;;;;;
;Савченко;0.003039347;19.01966403;8;;;;;;;;;;
;Куркин;0.00216593;13.55398633;8;;;;;;;;;;
;Вайсблат;0.002082717;13.03325176;1;;;;;;;;;;
;Цветкова;0.001883231;11.78490999;*;;;;;;;;;;
;Миркин;0.001840605;11.51816079;8;;;;;;;;;;
;Фияксель;0.001728136;10.81435152;1;;;;;;;;;;
;;;;;;;;;;;;;;
21;Название статьи;Гармонический анализ на локальных полях и пространствах аделей;;;;;;;;;;;;
;Автор;Осипов. Паршин;;;;;;;;;;;;
;Кандидаты;;Тематика;Математика;;;;;;;;;;
;Романова;0.006358446;39.78997086;*;;;;;;;;;;
;Захаров;0.003962888;24.79901159;*;;;;;;;;;;
;Баранова;0.003017946;18.88574365;*;;;;;;;;;;
;Савченко;0.002545601;15.92989706;8;;;;;;;;;;
;Панченко;0.002475411;15.49066158;1;;;;;;;;;;
;Иванова;0.002085817;13.05265284;1;;;;;;;;;;
;Фияксель;0.002072327;12.96823536;1;;;;;;;;;;
;Куркин;0.00187839;11.75461719;8;;;;;;;;;;
;Блинов;0.001824812;11.41933083;8;;;;;;;;;;
;Вайсблат;0.001810449;11.32945326;1;;;;;;;;;;
;Тенилова;0.001785744;11.17484985;0;;;;;;;;;;
;;;;;;;;;;;;;;
22;Название статьи;Об условиях обратимости разностных и дифференциальных операторов в весовых пространствах;;;;;;;;;;;;
;Автор;Бичегкуев;;;;;;;;;;;;
;Кандидаты;;Тематика;Математика;;;;;;;;;;
;Романова;0.005975771;37.39526123;*;;;;;;;;;;
;Захаров;0.004109845;25.71864456;*;;;;;;;;;;
;Баранова;0.003067968;19.19876953;*;;;;;;;;;;
;Фияксель;0.002919773;18.27139368;1;;;;;;;;;;
;Миркин;0.002430277;15.20821743;8;;;;;;;;;;
;Савченко;0.002400883;15.0242752;8;;;;;;;;;;
;Панченко;0.002244547;14.04595528;1;;;;;;;;;;
;Цветкова;0.002143771;13.41531939;*;;;;;;;;;;
;Тенилова;0.002097883;13.12816017;0;;;;;;;;;;
;Емельянова;0.002072367;12.9684844;*;;;;;;;;;;
;Блинов;0.002061836;12.90258413;8;;;;;;;;;;
;;;;;;;;;;;;;;
23;Название статьи;Математические основы теории производства-потребления: определение вида. структуры и параметров моделей;;;;;;;;;;;;
;Автор;Ивлев;;;;;;;;;;;;
;Кандидаты;;Тематика;Математика;;;;;;;;;;
;Романова;0.00396136;24.7894502;*;;;;;;;;;;
;Иванова;0.003391368;21.22255026;*;;;;;;;;;;
;Панченко;0.003288724;20.58022365;1;;;;;;;;;;
;Захаров;0.003248133;20.32621199;*;;;;;;;;;;
;Ковтун;0.002961186;18.53054739;0;;;;;;;;;;
;Зусман;0.00215902;13.5107422;0;;;;;;;;;;
;Фияксель;0.001899572;11.88716606;1;;;;;;;;;;
;Баранова;0.001789137;11.19608387;*;;;;;;;;;;
;Вайсблат;0.001738128;10.87687789;1;;;;;;;;;;
;Чилипенок;0.001661934;10.40007012;1;;;;;;;;;;
;Гапонова;0.001600025;10.0126592;0;;;;;;;;;;
;;;;;;;;;;;;;;
24;Название статьи;Имитационное моделирование организации массовых мероприятий (на примере XXII зимних Oлимпийских игр 2014);;;;;;;;;;;;
;Автор;Абросимов. Лебидько;Моделирование систем/Социология/Экономика;;;;;;;;;;;
;Панченко;0.003462059;21.66491875;*;;;;;;;;;;
;Зусман;0.003041731;19.03458653;0;;;;;;;;;;
;Альтшулер;0.002936527;18.37623874;4;;;;;;;;;;
;Козлов;0.002821447;17.6560876;*;;;;;;;;;;
;Макаров;0.002704776;16.92598625;*;;;;;;;;;;
;Чилипенок;0.002655133;16.61532847;5;;;;;;;;;;
;Зинчак;0.002553133;15.97703317;5;;;;;;;;;;
;Городнов;0.002548935;15.95076143;6;;;;;;;;;;
;Аистов;0.00231972;14.51637426;8;;;;;;;;;;
;Гапонова;0.002290217;14.33174781;4;;;;;;;;;;
;Цветкова;0.00198571;12.42620472;*;;;;;;;;;;
;;;;;;;;;;;;;;
25;Название статьи;О решении проблемы выборки малого размера при использовании линейного дискриминантного анализа в задачах распознавания лиц;;;;;;;;;;;;
;Автор;Мокеев. Томилов;Тематика;Математика/Информатика;;;;;;;;;;
;Романова;0.005080498;31.79281144;*;;;;;;;;;;
;Панченко;0.00387413;24.24358125;*;;;;;;;;;;
;Ковтун;0.003336047;20.87636165;0;;;;;;;;;;
;Зусман;0.002949931;18.46011982;0;;;;;;;;;;
;Чилипенок;0.00255015;15.95836133;1;;;;;;;;;;
;Колданов;0.00209469;13.10817764;8;;;;;;;;;;
;Захаров;0.001857182;11.62189917;*;;;;;;;;;;
;Миркин;0.001824443;11.41702448;8;;;;;;;;;;
;Шуваев;0.001791206;11.20903518;*;;;;;;;;;;
;Гапонова;0.001711283;10.70888896;1;;;;;;;;;;
;Гриднева;0.001614471;10.10305739;1;;;;;;;;;;
;;;;;;;;;;;;;;
26;Название статьи;Алгоритмы формирования спектрального представления звукового сигнала на основе U-преобразования;;;;;;;;;;;;
;Автор;Гай;Тематика;Математика;;;;;;;;;;
;Романова;0.004855696;30.38604196;*;;;;;;;;;;
;Захаров;0.004296814;26.88865976;*;;;;;;;;;;
;Иванова;0.002768157;17.32260751;*;;;;;;;;;;
;Панченко;0.002243261;14.03790851;*;;;;;;;;;;
;Чилипенок;0.002233557;13.97718172;1;;;;;;;;;;
;Ковтун;0.002184925;13.67285319;0;;;;;;;;;;
;Фияксель;0.002124462;13.29448649;1;;;;;;;;;;
;Зусман;0.002061002;12.89736398;0;;;;;;;;;;
;Блинов;0.001996588;12.49427734;8;;;;;;;;;;
;Гапонова;0.001878265;11.75382941;1;;;;;;;;;;
;Тенилова;0.001746358;10.92838355;0;;;;;;;;;;
;;;;;;;;;;;;;;
27;Название статьи;Надежное обнаружение плагиата малым числом поисковых запросов;;;;;;;;;;;;
;Автор;Дягилев. Цхай. Бутаков;Тематика;Информатика;;;;;;;;;;
;Чилипенок;0.003481155;21.78441678;0;;;;;;;;;;
;Романова;0.003376749;21.13106519;*;;;;;;;;;;
;Зусман;0.003371224;21.09649206;3;;;;;;;;;;
;Панченко;0.002443635;15.29181344;*;;;;;;;;;;
;Плотников;0.002292763;14.3476801;*;;;;;;;;;;
;Гапонова;0.002126635;13.30808547;1;;;;;;;;;;
;Бабкин;0.002081964;13.02854118;8;;;;;;;;;;
;Ковтун;0.002045879;12.80272911;0;;;;;;;;;;
;Миркин;0.002029087;12.69764741;7;;;;;;;;;;
;Шпилев;0.001956481;12.24329371;5;;;;;;;;;;
;Гриднева;0.001887088;11.80904556;8;;;;;;;;;;
;;;;;;;;;;;;;;
28;Название статьи;Измерение уровня зрелости профессионального сообщества;;;;;;;;;;;;
;Автор;Краснов. Яворский;Тематика;Информатика/Менеджмент;;;;;;;;;;
;Зусман;0.004284281;26.81023334;3;;;;;;;;;;
;Романова;0.004098077;25.6449992;*;;;;;;;;;;
;Чилипенок;0.003862384;24.17007573;5;;;;;;;;;;
;Панченко;0.003625251;22.68614292;*;;;;;;;;;;
;Фияксель;0.003425374;21.43535288;6;;;;;;;;;;
;Ковтун;0.003083519;19.29608818;0;;;;;;;;;;
;Гриднева;0.002829104;17.70400407;1;;;;;;;;;;
;Бабкин;0.002593448;16.22931665;7;;;;;;;;;;
;Сокова;0.002480044;15.51964966;*;;;;;;;;;;
;Гапонова;0.002303837;14.4169799;7;;;;;;;;;;
;Кирнозе;0.002300048;14.39327135;*;;;;;;;;;;
;;;;;;;;;;;;;;
29;Название статьи;Применение современных информационных технологий для анализа пространственно распределенных социально-экономических данных;;;;;;;;;;;;
;Автор;Латышев. Сидоренко;Тематика;Информатика/Математика/Экономика/Социология;;;;;;;;;;
;Захаров;0.006821231;42.68599272;*;;;;;;;;;;
;Панченко;0.003259068;20.39464203;0;;;;;;;;;;
;Романова;0.002977275;18.63123285;*;;;;;;;;;;
;Городнова;0.002740197;17.14764446;2;;;;;;;;;;
;Удалова;0.002043295;12.78655693;0;;;;;;;;;;
;Рябова;0.002020415;12.64338039;*;;;;;;;;;;
;Баранова;0.002005927;12.5527146;*;;;;;;;;;;
;Чернявская;0.001968711;12.31982687;6;;;;;;;;;;
;Мартынова;0.001874692;11.73147404;*;;;;;;;;;;
;Петрухин;0.001822987;11.40791207;8;;;;;;;;;;
;Козырев;0.001787364;11.1849895;*;;;;;;;;;;
;;;;;;;;;;;;;;
30;Название статьи; Об одном методе классификации визуальных моделей;;;;;;;;;;;;
;Автор;Гаврилова. Кудрявцев. Лещева. Павлов;Тематика;Моделирование/Информатика;;;;;;;;;;
;Иванова;0.005032998;31.49556336;*;;;;;;;;;;
;Ковтун;0.003238985;20.26896301;0;;;;;;;;;;
;Романова;0.002721143;17.02840476;*;;;;;;;;;;
;Панченко;0.002342767;14.66059726;*;;;;;;;;;;
;Гапонова;0.00177651;11.11706645;2;;;;;;;;;;
;Зусман;0.001706289;10.67763684;0;;;;;;;;;;
;Вайсблат;0.001668117;10.43876516;6;;;;;;;;;;
;Альтшулер;0.001575778;9.860926385;6;;;;;;;;;;
;Чилипенок;0.001520185;9.513033151;6;;;;;;;;;;
;Лапидус;0.001508902;9.442427104;5;;;;;;;;;;
;Коршунов;0.0015045;9.414880996;*;;;;;;;;;;
;;;;;;;;;;;;;;
31;Название статьи;Применение системы MATLAB для оценки рисков информационной безопасности организаци;;;;;;;;;;;;
;Автор;Глушенко;Тематика;Информатика/Математика;;;;;;;;;;
;Захаров;0.006669162;41.73436961;*;;;;;;;;;;
;Романова;0.004509079;28.21697498;*;;;;;;;;;;
;Панченко;0.002935944;18.37258816;*;;;;;;;;;;
;Зусман;0.00260499;16.30154016;0;;;;;;;;;;
;Чилипенок;0.002496659;15.62362684;6;;;;;;;;;;
;Блинов;0.002265439;14.17669731;8;;;;;;;;;;
;Фияксель;0.002035925;12.7404406;6;;;;;;;;;;
;Свиридова;0.001893611;11.84986404;1;;;;;;;;;;
;Тенилова;0.001866404;11.67961089;0;;;;;;;;;;
;Гапонова;0.001860279;11.64128084;5;;;;;;;;;;
;Бабкин;0.001806997;11.30784899;8;;;;;;;;;;
;;;;;;;;;;;;;;
32;Название статьи;Методы представления и сравнения семантически разных классов изображений;;;;;;;;;;;;
;Автор;Кухарев. Каменская. Щеголева;Тематика;Информатика;;;;;;;;;;
;Романова;0.004722518;29.55263659;*;;;;;;;;;;
;Панченко;0.004084279;25.55865434;*;;;;;;;;;;
;Ковтун;0.003262295;20.41483641;0;;;;;;;;;;
;Колданов;0.002307604;14.44055274;8;;;;;;;;;;
;Пелиновский;0.002172028;13.5921447;*;;;;;;;;;;
